"Activity 
2_DC Rollover IRA *4915 
as of 02/04/2026 at 11:21:41 AM"

Date,Description,Symbol,Quantity,Price,Amount,Cash Balance,Commission,Fees,Account,Settlement Date,Type
Jul-1-2025,YOU SOLD,VEEV,-100,281.77,"28,177.32","+78,147.95",--,--,2_DC Rollover IRA *4915,Jul-2-2025,Cash
Jul-1-2025,YOU SOLD,TWLO,-100,118.70,"11,870.00","+49,970.63",--,--,2_DC Rollover IRA *4915,Jul-2-2025,Cash
Jul-1-2025,YOU SOLD,MELI,-6,"2,499.04","14,994.24","+38,100.63",--,--,2_DC Rollover IRA *4915,Jul-2-2025,Cash
Jul-1-2025,YOU SOLD,NET,-100,187.91,"18,791.01","+23,106.39",--,--,2_DC Rollover IRA *4915,Jul-2-2025,Cash
Jul-1-2025,YOU BOUGHT,AVGO,100,271.82,"-27,182.00","+4,315.38",--,--,2_DC Rollover IRA *4915,Jul-2-2025,Cash
Jul-1-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,,--,--,"3,088.96","+31,497.38",--,--,2_DC Rollover IRA *4915,--,Cash
Jun-30-2025,DIVIDEND RECEIVED,CIBR,--,--,35.92,"+28,408.42",--,--,2_DC Rollover IRA *4915,--,Cash
Jun-30-2025,REINVESTMENT REINVEST @ $1.000,FDRXX,577.51,1.00,-577.51,"+28,372.50",--,--,2_DC Rollover IRA *4915,--,Cash
Jun-30-2025,DIVIDEND RECEIVED,FDRXX,--,--,577.51,"+28,372.50",--,--,2_DC Rollover IRA *4915,--,Cash
Jun-30-2025,YOU BOUGHT,TWLO,100,125.38,"-12,538.06","+27,794.99",--,--,2_DC Rollover IRA *4915,Jul-1-2025,Cash
Jun-30-2025,YOU BOUGHT,ORCL,60,223.28,"-13,396.80","+40,333.05",--,--,2_DC Rollover IRA *4915,Jul-1-2025,Cash
Jun-30-2025,YOU BOUGHT,MOS,300,36.03,"-10,809.00","+53,729.85",--,--,2_DC Rollover IRA *4915,Jul-1-2025,Cash
Jun-30-2025,YOU SOLD,GS,-4,706.78,"2,827.12","+64,538.85",--,--,2_DC Rollover IRA *4915,Jul-1-2025,Cash
Jun-30-2025,YOU SOLD,GS,-6,706.82,"4,240.92","+61,711.73",--,--,2_DC Rollover IRA *4915,Jul-1-2025,Cash
Jun-30-2025,YOU BOUGHT,CIBR,300,75.42,"-22,625.70","+57,470.81",--,--,2_DC Rollover IRA *4915,Jul-1-2025,Cash
Jun-30-2025,YOU SOLD,CHWY,-200,42.27,"8,453.12","+80,096.51",--,--,2_DC Rollover IRA *4915,Jul-1-2025,Cash
Jun-30-2025,YOU BOUGHT,BSX,200,106.86,"-21,373.00","+71,643.39",--,--,2_DC Rollover IRA *4915,Jul-1-2025,Cash
Jun-30-2025,YOU SOLD,AS,-100,38.83,"3,883.00","+93,016.39",--,--,2_DC Rollover IRA *4915,Jul-1-2025,Cash
Jun-30-2025,YOU SOLD,AS,-200,38.84,"7,768.00","+89,133.39",--,--,2_DC Rollover IRA *4915,Jul-1-2025,Cash
Jun-27-2025,YOU BOUGHT,VEEV,100,284.63,"-28,463.48","+81,365.39",--,--,2_DC Rollover IRA *4915,Jun-30-2025,Cash
Jun-27-2025,YOU SOLD,URBN,-150,68.48,"10,272.60","+109,828.87",--,--,2_DC Rollover IRA *4915,Jun-30-2025,Cash
Jun-27-2025,YOU SOLD,RBRK,-200,88.60,"17,720.00","+99,556.27",--,--,2_DC Rollover IRA *4915,Jun-30-2025,Cash
Jun-27-2025,YOU SOLD,PLTR,-250,143.59,"35,898.75","+81,836.27",--,--,2_DC Rollover IRA *4915,Jun-30-2025,Cash
Jun-27-2025,YOU SOLD,CEG,-50,318.09,"15,904.50","+45,937.52",--,--,2_DC Rollover IRA *4915,Jun-30-2025,Cash
Jun-27-2025,YOU BOUGHT,AMZN,75,219.96,"-16,496.99","+30,033.02",--,--,2_DC Rollover IRA *4915,Jun-30-2025,Cash
Jun-27-2025,YOU BOUGHT,AS,300,39.33,"-11,798.97","+46,530.01",--,--,2_DC Rollover IRA *4915,Jun-30-2025,Cash
Jun-26-2025,YOU BOUGHT,URBN,150,70.20,"-10,530.75","+58,328.98",--,--,2_DC Rollover IRA *4915,Jun-27-2025,Cash
Jun-26-2025,YOU SOLD,SHOP,-75,109.08,"8,180.63","+68,859.73",--,--,2_DC Rollover IRA *4915,Jun-27-2025,Cash
Jun-26-2025,YOU BOUGHT,RBRK,200,92.72,"-18,543.20","+60,679.10",--,--,2_DC Rollover IRA *4915,Jun-27-2025,Cash
Jun-26-2025,YOU BOUGHT,PLTR,250,145.19,"-36,298.25","+79,222.30",--,--,2_DC Rollover IRA *4915,Jun-27-2025,Cash
Jun-26-2025,YOU SOLD,CIBR,-100,74.97,"7,497.00","+115,520.55",--,--,2_DC Rollover IRA *4915,Jun-27-2025,Cash
Jun-26-2025,YOU SOLD,BROS,-100,67.00,"6,700.00","+108,023.55",--,--,2_DC Rollover IRA *4915,Jun-27-2025,Cash
Jun-25-2025,YOU SOLD,TOST,-400,42.76,"17,104.28","+101,323.55",--,--,2_DC Rollover IRA *4915,Jun-26-2025,Cash
Jun-25-2025,YOU SOLD,TPR,-150,85.49,"12,823.50","+84,219.27",--,--,2_DC Rollover IRA *4915,Jun-26-2025,Cash
Jun-25-2025,YOU SOLD,GEV,-14,502.88,"7,040.32","+71,395.77",--,--,2_DC Rollover IRA *4915,Jun-26-2025,Cash
Jun-25-2025,YOU SOLD,BROS,-100,68.85,"6,885.00","+64,355.45",--,--,2_DC Rollover IRA *4915,Jun-26-2025,Cash
Jun-25-2025,YOU BOUGHT,CHWY,300,43.72,"-13,116.15","+57,470.45",--,--,2_DC Rollover IRA *4915,Jun-26-2025,Cash
Jun-25-2025,YOU SOLD,CHWY,-100,42.52,"4,252.30","+70,586.60",--,--,2_DC Rollover IRA *4915,Jun-26-2025,Cash
Jun-24-2025,YOU BOUGHT,SHOP,75,114.80,"-8,610.00","+66,334.30",--,--,2_DC Rollover IRA *4915,Jun-25-2025,Cash
Jun-24-2025,YOU BOUGHT,ORCL,30,214.92,"-6,447.46","+74,944.30",--,--,2_DC Rollover IRA *4915,Jun-25-2025,Cash
Jun-24-2025,YOU BOUGHT,GEV,14,510.57,"-7,147.97","+81,391.76",--,--,2_DC Rollover IRA *4915,Jun-25-2025,Cash
Jun-24-2025,YOU BOUGHT,CIBR,150,73.88,"-11,081.94","+88,539.73",--,--,2_DC Rollover IRA *4915,Jun-25-2025,Cash
Jun-24-2025,YOU BOUGHT,BROS,100,70.27,"-7,026.80","+99,621.67",--,--,2_DC Rollover IRA *4915,Jun-25-2025,Cash
Jun-24-2025,YOU BOUGHT,BKNG,3,"5,503.00","-16,509.00","+106,648.47",--,--,2_DC Rollover IRA *4915,Jun-25-2025,Cash
Jun-23-2025,YOU BOUGHT,TOST,400,43.46,"-17,385.40","+123,157.47",--,--,2_DC Rollover IRA *4915,Jun-24-2025,Cash
Jun-23-2025,YOU SOLD,PLTR,-100,137.62,"13,762.50","+140,542.87",--,--,2_DC Rollover IRA *4915,Jun-24-2025,Cash
Jun-23-2025,YOU BOUGHT,MELI,6,"2,456.80","-14,740.80","+126,780.37",--,--,2_DC Rollover IRA *4915,Jun-24-2025,Cash
Jun-23-2025,YOU SOLD,IBKR,-100,49.81,"4,981.00","+141,521.17",--,--,2_DC Rollover IRA *4915,Jun-24-2025,Cash
Jun-23-2025,YOU SOLD,IBKR,-100,50.32,"5,032.00","+136,540.17",--,--,2_DC Rollover IRA *4915,Jun-24-2025,Cash
Jun-23-2025,YOU SOLD,GH,-100,49.00,"4,900.01","+131,508.17",--,--,2_DC Rollover IRA *4915,Jun-24-2025,Cash
Jun-23-2025,YOU BOUGHT,GS,12,645.39,"-7,744.68","+126,608.16",--,--,2_DC Rollover IRA *4915,Jun-24-2025,Cash
Jun-23-2025,YOU BOUGHT,CIBR,250,73.14,"-18,286.25","+134,352.84",--,--,2_DC Rollover IRA *4915,Jun-24-2025,Cash
Jun-23-2025,YOU BOUGHT,BROS,100,68.74,"-6,874.00","+152,639.09",--,--,2_DC Rollover IRA *4915,Jun-24-2025,Cash
Jun-23-2025,YOU BOUGHT,NET,100,183.77,"-18,377.00","+159,513.09",--,--,2_DC Rollover IRA *4915,Jun-24-2025,Cash
Jun-23-2025,YOU BOUGHT,AVGO,100,253.12,"-25,312.00","+177,890.09",--,--,2_DC Rollover IRA *4915,Jun-24-2025,Cash
Jun-23-2025,YOU SOLD,EAT,-50,175.72,"8,786.00","+203,202.09",--,--,2_DC Rollover IRA *4915,Jun-24-2025,Cash
Jun-18-2025,DISTRIBUTION,IBKR,150,--,--,"+194,416.09",--,--,2_DC Rollover IRA *4915,--,Cash
Jun-18-2025,YOU BOUGHT,GH,100,51.17,"-5,117.00","+194,416.09",--,--,2_DC Rollover IRA *4915,Jun-20-2025,Cash
Jun-18-2025,YOU SOLD,SPOT,-30,707.40,"21,222.00","+199,533.09",--,--,2_DC Rollover IRA *4915,Jun-20-2025,Cash
Jun-17-2025,YOU BOUGHT,NFLX,5,"1,225.32","-6,126.60","+178,311.09",--,--,2_DC Rollover IRA *4915,Jun-18-2025,Cash
Jun-16-2025,DIVIDEND RECEIVED,CTVA,--,--,46.75,"+184,437.69",--,--,2_DC Rollover IRA *4915,--,Cash
Jun-16-2025,YOU BOUGHT,TPR,150,84.50,"-12,675.00","+184,390.94",--,--,2_DC Rollover IRA *4915,Jun-17-2025,Cash
Jun-16-2025,YOU SOLD,RRC,-300,41.27,"12,381.00","+197,065.94",--,--,2_DC Rollover IRA *4915,Jun-17-2025,Cash
Jun-16-2025,YOU BOUGHT,IBKR,50,210.72,"-10,536.10","+184,684.94",--,--,2_DC Rollover IRA *4915,Jun-17-2025,Cash
Jun-16-2025,YOU BOUGHT,CTVA,50,73.91,"-3,695.50","+195,221.04",--,--,2_DC Rollover IRA *4915,Jun-17-2025,Cash
Jun-16-2025,YOU BOUGHT,CEG,50,309.16,"-15,458.00","+198,916.54",--,--,2_DC Rollover IRA *4915,Jun-17-2025,Cash
Jun-16-2025,YOU BOUGHT,EAT,50,181.25,"-9,062.50","+214,374.54",--,--,2_DC Rollover IRA *4915,Jun-17-2025,Cash
Jun-16-2025,YOU BOUGHT,SPOT,30,713.50,"-21,405.00","+223,437.04",--,--,2_DC Rollover IRA *4915,Jun-17-2025,Cash
Jun-13-2025,YOU BOUGHT,RRC,290,40.71,"-11,805.81","+244,842.04",--,--,2_DC Rollover IRA *4915,Jun-16-2025,Cash
Jun-13-2025,YOU BOUGHT,RRC,10,40.71,-407.10,"+256,647.85",--,--,2_DC Rollover IRA *4915,Jun-16-2025,Cash
Jun-13-2025,YOU SOLD,RCL,-30,261.26,"7,837.81","+257,054.95",--,--,2_DC Rollover IRA *4915,Jun-16-2025,Cash
Jun-11-2025,YOU BOUGHT,PLTR,80,133.59,"-10,687.20","+249,217.14",--,--,2_DC Rollover IRA *4915,Jun-12-2025,Cash
Jun-11-2025,YOU BOUGHT,PLTR,20,133.60,"-2,672.00","+259,904.34",--,--,2_DC Rollover IRA *4915,Jun-12-2025,Cash
Jun-11-2025,YOU SOLD,AMZN,-100,216.86,"21,685.95","+262,576.34",--,--,2_DC Rollover IRA *4915,Jun-12-2025,Cash
Jun-11-2025,YOU BOUGHT,RCL,12,270.27,"-3,243.24","+240,890.39",--,--,2_DC Rollover IRA *4915,Jun-12-2025,Cash
Jun-10-2025,YOU SOLD,RCL,-15,270.37,"4,055.57","+244,133.63",--,--,2_DC Rollover IRA *4915,Jun-11-2025,Cash
Jun-9-2025,YOU SOLD,EHC,-100,118.71,"11,871.00","+240,078.06",--,--,2_DC Rollover IRA *4915,Jun-10-2025,Cash
Jun-9-2025,YOU SOLD,EAT,-55,173.80,"9,558.84","+228,207.06",--,--,2_DC Rollover IRA *4915,Jun-10-2025,Cash
Jun-9-2025,YOU BOUGHT,AMZN,40,216.16,"-8,646.28","+218,648.22",--,--,2_DC Rollover IRA *4915,Jun-10-2025,Cash
Jun-9-2025,YOU SOLD,RCL,-17,273.71,"4,653.15","+227,294.50",--,--,2_DC Rollover IRA *4915,Jun-10-2025,Cash
Jun-5-2025,YOU SOLD,PLTR,-10,119.01,"1,190.10","+222,641.35",--,--,2_DC Rollover IRA *4915,Jun-6-2025,Cash
Jun-5-2025,YOU SOLD,PLTR,-290,119.02,"34,515.80","+221,451.25",--,--,2_DC Rollover IRA *4915,Jun-6-2025,Cash
Jun-4-2025,YOU BOUGHT,PLTR,300,128.26,"-38,477.10","+186,935.45",--,--,2_DC Rollover IRA *4915,Jun-5-2025,Cash
Jun-4-2025,YOU SOLD,PLTR,-200,125.82,"25,163.24","+225,412.55",--,--,2_DC Rollover IRA *4915,Jun-5-2025,Cash
Jun-4-2025,YOU SOLD,RCL,-25,266.05,"6,651.20","+200,249.31",--,--,2_DC Rollover IRA *4915,Jun-5-2025,Cash
Jun-3-2025,YOU SOLD,GRND,-600,24.21,"14,524.20","+193,598.11",--,--,2_DC Rollover IRA *4915,Jun-4-2025,Cash
Jun-3-2025,YOU SOLD,BROS,-11,71.08,781.88,"+179,073.91",--,--,2_DC Rollover IRA *4915,Jun-4-2025,Cash
Jun-3-2025,YOU SOLD,BROS,-139,71.07,"9,878.75","+178,292.03",--,--,2_DC Rollover IRA *4915,Jun-4-2025,Cash
Jun-3-2025,YOU SOLD,CTVA,-50,70.50,"3,525.12","+168,413.28",--,--,2_DC Rollover IRA *4915,Jun-4-2025,Cash
Jun-3-2025,YOU SOLD,CTVA,-175,70.53,"12,341.88","+164,888.16",--,--,2_DC Rollover IRA *4915,Jun-4-2025,Cash
Jun-2-2025,YOU SOLD,BROS,-175,69.64,"12,187.19","+152,546.28",--,--,2_DC Rollover IRA *4915,Jun-3-2025,Cash
May-30-2025,REINVESTMENT REINVEST @ $1.000,FDRXX,626.95,1.00,-626.95,"+140,359.09",--,--,2_DC Rollover IRA *4915,--,Cash
May-30-2025,DIVIDEND RECEIVED,FDRXX,--,--,626.95,"+140,359.09",--,--,2_DC Rollover IRA *4915,--,Cash
May-30-2025,YOU SOLD,NOW,-10,"1,003.77","10,037.68","+139,732.14",--,--,2_DC Rollover IRA *4915,Jun-2-2025,Cash
May-30-2025,YOU SOLD,SE,-100,160.01,"16,001.00","+129,694.46",--,--,2_DC Rollover IRA *4915,Jun-2-2025,Cash
May-30-2025,YOU SOLD,PLTR,-100,131.50,"13,150.00","+113,693.46",--,--,2_DC Rollover IRA *4915,Jun-2-2025,Cash
May-30-2025,YOU BOUGHT,GRND,300,24.24,"-7,273.20","+100,543.46",--,--,2_DC Rollover IRA *4915,Jun-2-2025,Cash
May-30-2025,YOU BOUGHT,BROS,250,72.39,"-18,096.25","+107,816.66",--,--,2_DC Rollover IRA *4915,Jun-2-2025,Cash
May-30-2025,YOU SOLD,EAT,-20,173.78,"3,475.60","+125,912.91",--,--,2_DC Rollover IRA *4915,Jun-2-2025,Cash
May-30-2025,YOU BOUGHT,RCL,25,256.73,"-6,418.20","+122,437.31",--,--,2_DC Rollover IRA *4915,Jun-2-2025,Cash
May-29-2025,YOU BOUGHT,EAT,75,168.24,"-12,618.00","+128,855.51",--,--,2_DC Rollover IRA *4915,May-30-2025,Cash
May-29-2025,YOU SOLD,ONON,-150,58.95,"8,842.50","+141,473.51",--,--,2_DC Rollover IRA *4915,May-30-2025,Cash
May-28-2025,YOU SOLD,TOST,-150,42.56,"6,384.00","+132,631.01",--,--,2_DC Rollover IRA *4915,May-29-2025,Cash
May-28-2025,YOU BOUGHT,PLTR,100,125.02,"-12,501.50","+126,247.01",--,--,2_DC Rollover IRA *4915,May-29-2025,Cash
May-28-2025,YOU BOUGHT,JOBY,300,8.81,"-2,642.97","+138,748.51",--,--,2_DC Rollover IRA *4915,May-29-2025,Cash
May-28-2025,YOU SOLD,JOBY,-300,8.82,"2,646.00","+141,391.48",--,--,2_DC Rollover IRA *4915,May-29-2025,Cash
May-27-2025,YOU BOUGHT,NOW,10,"1,024.37","-10,243.70","+138,745.48",--,--,2_DC Rollover IRA *4915,May-28-2025,Cash
May-27-2025,YOU SOLD,NNE,-400,32.56,"13,024.00","+148,989.18",--,--,2_DC Rollover IRA *4915,May-28-2025,Cash
May-27-2025,YOU SOLD,KGC,-400,14.60,"5,838.16","+135,965.18",--,--,2_DC Rollover IRA *4915,May-28-2025,Cash
May-27-2025,YOU SOLD,JPM,-20,263.89,"5,277.86","+130,127.02",--,--,2_DC Rollover IRA *4915,May-28-2025,Cash
May-27-2025,YOU SOLD,META,-25,640.26,"16,006.50","+124,849.16",--,--,2_DC Rollover IRA *4915,May-28-2025,Cash
May-27-2025,YOU SOLD 25147HE0D2,CTVA,-125,70.24,"8,780.01","+108,842.66",--,--,2_DC Rollover IRA *4915,May-28-2025,Cash
May-27-2025,YOU BOUGHT,ONON,100,60.58,"-6,057.50","+100,062.65",--,--,2_DC Rollover IRA *4915,May-28-2025,Cash
May-27-2025,YOU BOUGHT,ONON,50,60.55,"-3,027.50","+106,120.15",--,--,2_DC Rollover IRA *4915,May-28-2025,Cash
May-23-2025,DIVIDEND RECEIVED,QQQI,--,--,637.40,"+109,147.65",--,--,2_DC Rollover IRA *4915,--,Cash
May-23-2025,YOU SOLD,TOST,-150,42.63,"6,393.81","+108,510.25",--,--,2_DC Rollover IRA *4915,May-27-2025,Cash
May-23-2025,YOU SOLD,NOW,-15,"1,008.01","15,120.15","+102,116.44",--,--,2_DC Rollover IRA *4915,May-27-2025,Cash
May-23-2025,YOU BOUGHT,SE,100,164.79,"-16,479.44","+86,996.29",--,--,2_DC Rollover IRA *4915,May-27-2025,Cash
May-23-2025,YOU BOUGHT,NNE,275,35.29,"-9,703.65","+103,475.73",--,--,2_DC Rollover IRA *4915,May-27-2025,Cash
May-23-2025,YOU SOLD,NNE,-50,33.21,"1,660.50","+113,179.38",--,--,2_DC Rollover IRA *4915,May-27-2025,Cash
May-23-2025,YOU SOLD,NNE,-50,33.22,"1,661.00","+111,518.88",--,--,2_DC Rollover IRA *4915,May-27-2025,Cash
May-23-2025,YOU SOLD,NNE,-75,33.97,"2,547.38","+109,857.88",--,--,2_DC Rollover IRA *4915,May-27-2025,Cash
May-23-2025,YOU BOUGHT,JPM,50,261.26,"-13,063.25","+107,310.50",--,--,2_DC Rollover IRA *4915,May-27-2025,Cash
May-23-2025,YOU BOUGHT,BROS,50,68.09,"-3,404.70","+120,373.75",--,--,2_DC Rollover IRA *4915,May-27-2025,Cash
May-23-2025,YOU SOLD,BROS,-75,68.07,"5,105.25","+123,778.45",--,--,2_DC Rollover IRA *4915,May-27-2025,Cash
May-23-2025,YOU BOUGHT,RCL,50,241.15,"-12,057.55","+118,673.20",--,--,2_DC Rollover IRA *4915,May-27-2025,Cash
May-22-2025,YOU BOUGHT,TOST,300,42.83,"-12,849.00","+130,730.75",--,--,2_DC Rollover IRA *4915,May-23-2025,Cash
May-22-2025,YOU BOUGHT,PLTR,100,124.89,"-12,489.00","+143,579.75",--,--,2_DC Rollover IRA *4915,May-23-2025,Cash
May-22-2025,YOU BOUGHT,PLTR,100,126.09,"-12,609.00","+156,068.75",--,--,2_DC Rollover IRA *4915,May-23-2025,Cash
May-22-2025,YOU BOUGHT,NNE,400,26.91,"-10,763.20","+168,677.75",--,--,2_DC Rollover IRA *4915,May-23-2025,Cash
May-22-2025,YOU SOLD,NNE,-100,28.00,"2,800.00","+179,440.95",--,--,2_DC Rollover IRA *4915,May-23-2025,Cash
May-22-2025,YOU BOUGHT,BROS,100,67.86,"-6,786.09","+176,640.95",--,--,2_DC Rollover IRA *4915,May-23-2025,Cash
May-22-2025,YOU SOLD,EXE,-1,114.00,114.00,"+183,427.04",--,--,2_DC Rollover IRA *4915,May-23-2025,Cash
May-22-2025,YOU SOLD,EXE,-99,113.97,"11,283.03","+183,313.04",--,--,2_DC Rollover IRA *4915,May-23-2025,Cash
May-21-2025,YOU SOLD,88634T493,-53,22.87,"1,212.11","+172,030.01",--,--,2_DC Rollover IRA *4915,May-22-2025,Cash
May-21-2025,YOU SOLD,88634T493,-372,22.86,"8,503.92","+170,817.90",--,--,2_DC Rollover IRA *4915,May-22-2025,Cash
May-21-2025,YOU BOUGHT,NOW,15,"1,024.50","-15,367.50","+162,313.98",--,--,2_DC Rollover IRA *4915,May-22-2025,Cash
May-21-2025,YOU BOUGHT,QQQI,250,50.01,"-12,502.30","+177,681.48",--,--,2_DC Rollover IRA *4915,May-22-2025,Cash
May-21-2025,YOU SOLD,QQQI,-63,49.83,"3,139.29","+190,183.78",--,--,2_DC Rollover IRA *4915,May-22-2025,Cash
May-21-2025,YOU SOLD,QQQI,"-1,187",49.84,"59,160.08","+187,044.49",--,--,2_DC Rollover IRA *4915,May-22-2025,Cash
May-21-2025,YOU SOLD,PLTR,-200,122.15,"24,430.00","+127,884.41",--,--,2_DC Rollover IRA *4915,May-22-2025,Cash
May-21-2025,YOU BOUGHT,KGC,200,14.69,"-2,937.98","+103,454.41",--,--,2_DC Rollover IRA *4915,May-22-2025,Cash
May-21-2025,YOU BOUGHT,META,40,644.67,"-25,786.78","+106,392.39",--,--,2_DC Rollover IRA *4915,May-22-2025,Cash
May-21-2025,YOU BOUGHT,META,10,635.92,"-6,359.20","+132,179.17",--,--,2_DC Rollover IRA *4915,May-22-2025,Cash
May-21-2025,YOU SOLD,META,-25,635.77,"15,894.15","+138,538.37",--,--,2_DC Rollover IRA *4915,May-22-2025,Cash
May-21-2025,YOU BOUGHT,EHC,50,120.39,"-6,019.50","+122,644.22",--,--,2_DC Rollover IRA *4915,May-22-2025,Cash
May-21-2025,YOU SOLD,EHC,-50,120.30,"6,015.00","+128,663.72",--,--,2_DC Rollover IRA *4915,May-22-2025,Cash
May-21-2025,YOU SOLD,CRWD,-40,434.33,"17,373.20","+122,648.72",--,--,2_DC Rollover IRA *4915,May-22-2025,Cash
May-21-2025,YOU SOLD,EXE,-100,115.27,"11,527.00","+105,275.52",--,--,2_DC Rollover IRA *4915,May-22-2025,Cash
May-21-2025,YOU SOLD,AVGO,-50,230.00,"11,500.00","+93,748.52",--,--,2_DC Rollover IRA *4915,May-22-2025,Cash
May-21-2025,YOU SOLD,AVGO,-50,231.56,"11,578.23","+82,248.52",--,--,2_DC Rollover IRA *4915,May-22-2025,Cash
May-21-2025,YOU SOLD,ALAB,-100,92.01,"9,201.01","+70,670.29",--,--,2_DC Rollover IRA *4915,May-22-2025,Cash
May-21-2025,YOU SOLD,ALAB,-100,94.12,"9,412.23","+61,469.28",--,--,2_DC Rollover IRA *4915,May-22-2025,Cash
May-21-2025,YOU BOUGHT,AMZN,40,201.13,"-8,045.35","+52,057.05",--,--,2_DC Rollover IRA *4915,May-22-2025,Cash
May-21-2025,YOU BOUGHT,AMZN,20,203.26,"-4,065.20","+60,102.40",--,--,2_DC Rollover IRA *4915,May-22-2025,Cash
May-21-2025,YOU SOLD,AMZN,-60,201.29,"12,077.19","+64,167.60",--,--,2_DC Rollover IRA *4915,May-22-2025,Cash
May-20-2025,YOU BOUGHT,88634T493,425,23.64,"-10,046.96","+52,090.41",--,--,2_DC Rollover IRA *4915,May-21-2025,Cash
May-20-2025,YOU BOUGHT,QQQI,"1,000",50.87,"-50,869.00","+62,137.37",--,--,2_DC Rollover IRA *4915,May-21-2025,Cash
May-20-2025,YOU SOLD,OSCR,-400,16.66,"6,662.16","+113,006.37",--,--,2_DC Rollover IRA *4915,May-21-2025,Cash
May-20-2025,YOU BOUGHT,EXE,133,115.78,"-15,398.66","+106,344.21",--,--,2_DC Rollover IRA *4915,May-21-2025,Cash
May-20-2025,YOU BOUGHT,EXE,43,115.77,"-4,978.11","+121,742.87",--,--,2_DC Rollover IRA *4915,May-21-2025,Cash
May-20-2025,YOU BOUGHT,EXE,24,115.76,"-2,778.24","+126,720.98",--,--,2_DC Rollover IRA *4915,May-21-2025,Cash
May-20-2025,YOU BOUGHT,ALAB,200,94.31,"-18,862.00","+129,499.22",--,--,2_DC Rollover IRA *4915,May-21-2025,Cash
May-20-2025,YOU SOLD,APP,-75,361.01,"27,075.75","+148,361.22",--,--,2_DC Rollover IRA *4915,May-21-2025,Cash
May-20-2025,YOU BOUGHT,SPOT,20,658.00,"-13,160.00","+121,285.47",--,--,2_DC Rollover IRA *4915,May-21-2025,Cash
May-20-2025,YOU BOUGHT,SPOT,16,660.56,"-10,569.01","+134,445.47",--,--,2_DC Rollover IRA *4915,May-21-2025,Cash
May-20-2025,YOU SOLD,SPOT,-60,654.72,"39,282.90","+145,014.48",--,--,2_DC Rollover IRA *4915,May-21-2025,Cash
May-19-2025,YOU SOLD,UBER,-100,90.89,"9,089.50","+105,731.58",--,--,2_DC Rollover IRA *4915,May-20-2025,Cash
May-19-2025,YOU BOUGHT,PLTR,100,124.64,"-12,463.89","+96,642.08",--,--,2_DC Rollover IRA *4915,May-20-2025,Cash
May-19-2025,YOU BOUGHT 25139G63FQ,OSCR,200,16.91,"-3,381.98","+109,105.97",--,--,2_DC Rollover IRA *4915,May-20-2025,Cash
May-19-2025,YOU BOUGHT,BROS,100,72.84,"-7,283.65","+112,487.95",--,--,2_DC Rollover IRA *4915,May-20-2025,Cash
May-19-2025,YOU BOUGHT,BROS,100,72.92,"-7,291.50","+119,771.60",--,--,2_DC Rollover IRA *4915,May-20-2025,Cash
May-19-2025,YOU SOLD,BROS,-300,71.47,"21,441.00","+127,063.10",--,--,2_DC Rollover IRA *4915,May-20-2025,Cash
May-19-2025,YOU BOUGHT,CRWD,40,441.20,"-17,648.00","+105,622.10",--,--,2_DC Rollover IRA *4915,May-20-2025,Cash
May-19-2025,YOU BOUGHT,CTVA,100,68.70,"-6,869.99","+123,270.10",--,--,2_DC Rollover IRA *4915,May-20-2025,Cash
May-19-2025,YOU BOUGHT,AVGO,100,230.09,"-23,009.00","+130,140.09",--,--,2_DC Rollover IRA *4915,May-20-2025,Cash
May-19-2025,YOU BOUGHT,APP,75,372.86,"-27,964.50","+153,149.09",--,--,2_DC Rollover IRA *4915,May-20-2025,Cash
May-16-2025,YOU BOUGHT,UBER,50,91.18,"-4,558.96","+181,113.59",--,--,2_DC Rollover IRA *4915,May-19-2025,Cash
May-16-2025,YOU SOLD,UBER,-50,92.17,"4,608.50","+185,672.55",--,--,2_DC Rollover IRA *4915,May-19-2025,Cash
May-16-2025,YOU BOUGHT,OSCR,200,17.49,"-3,498.00","+181,064.05",--,--,2_DC Rollover IRA *4915,May-19-2025,Cash
May-16-2025,YOU BOUGHT,BROS,100,72.89,"-7,289.00","+184,562.05",--,--,2_DC Rollover IRA *4915,May-19-2025,Cash
May-16-2025,YOU SOLD,AVGO,-100,227.73,"22,773.00","+191,851.05",--,--,2_DC Rollover IRA *4915,May-19-2025,Cash
May-16-2025,YOU BOUGHT,AMZN,29,205.13,"-5,948.90","+169,078.05",--,--,2_DC Rollover IRA *4915,May-19-2025,Cash
May-15-2025,YOU BOUGHT,UBER,50,89.77,"-4,488.50","+175,026.95",--,--,2_DC Rollover IRA *4915,May-16-2025,Cash
May-15-2025,YOU SOLD,UBER,-50,89.53,"4,476.54","+179,515.45",--,--,2_DC Rollover IRA *4915,May-16-2025,Cash
May-15-2025,YOU BOUGHT,PLTR,100,128.93,"-12,892.92","+175,038.91",--,--,2_DC Rollover IRA *4915,May-16-2025,Cash
May-15-2025,YOU SOLD,GRND,-350,23.79,"8,325.45","+187,931.83",--,--,2_DC Rollover IRA *4915,May-16-2025,Cash
May-15-2025,YOU BOUGHT,EHC,100,119.73,"-11,973.01","+179,606.38",--,--,2_DC Rollover IRA *4915,May-16-2025,Cash
May-15-2025,YOU BOUGHT,CTVA,200,68.25,"-13,650.00","+191,579.39",--,--,2_DC Rollover IRA *4915,May-16-2025,Cash
